timestamp_ms,temperature_c,humidity_percent,light_raw,anomaly
1098,24.34,50.25,651.7,0
1198,24.12,50.27,661.74,0
1298,24.14,49.51,655.1,0
1398,24.16,50.32,681.93,0
1498,24.21,49.38,686.73,0
1598,24.44,49.92,704.37,0
1698,24.35,49.8,696.93,0
1798,24.25,50.0,699.2,0
1898,24.51,49.92,732.84,0
1998,24.66,49.81,725.71,0
2098,24.65,49.46,740.72,0
2198,24.42,50.19,753.56,0
2298,24.38,49.48,736.94,0
2398,24.67,49.1,753.65,0
2498,24.74,49.49,748.91,0
2598,24.73,49.04,776.13,0
2698,24.79,49.2,774.98,0
2798,24.61,49.77,793.14,0
2898,24.53,49.59,778.18,0
2998,24.53,49.14,782.93,0
3098,24.84,49.72,801.11,0
3198,24.87,49.66,812.98,0
3298,24.75,49.65,820.79,0
3398,24.65,49.43,822.2,0
3498,24.74,49.27,816.93,0
3598,24.67,49.17,825.06,0
3698,24.76,49.88,810.61,0
3798,24.91,49.02,826.44,0
3898,24.69,49.38,838.98,0
3998,24.97,48.86,826.32,0
4098,25.07,49.35,833.88,0
4198,25.04,49.05,833.52,0
4298,24.76,49.59,841.2,0
4398,24.8,49.76,858.98,0
4498,25.13,48.85,860.15,0
4598,25.16,49.3,852.28,0
4698,25.0,49.79,836.33,0
4798,24.85,49.69,858.92,0
4898,25.18,49.35,863.77,0
4998,25.18,49.66,855.8,0
5098,24.91,49.6,860.92,0
5198,24.88,49.45,850.77,0
5298,24.98,49.13,837.44,0
5398,24.93,49.78,858.02,0
5498,25.18,49.28,850.12,0
5598,25.15,48.76,859.46,0
5698,24.98,49.35,855.12,0
5798,25.21,49.33,826.75,0
5898,25.16,49.16,828.06,0
5998,25.02,49.59,822.54,0
6098,25.03,49.39,825.25,0
6198,25.23,49.3,834.68,0
6298,25.2,48.77,819.26,0
6398,24.98,49.16,832.19,0
6498,25.07,49.63,820.22,0
6598,24.99,49.06,824.03,0
6698,25.05,49.12,817.24,0
6798,25.07,49.58,791.83,0
6898,25.3,48.95,787.26,0
6998,25.22,49.04,796.41,0
7098,25.07,48.87,794.96,0
7198,25.22,48.88,779.21,0
7298,25.3,49.24,765.74,0
7398,25.29,48.93,755.01,0
7498,25.32,48.78,754.71,0
7598,25.01,49.01,769.2,0
7698,25.07,48.78,741.13,0
7798,25.06,49.67,729.25,0
7898,25.17,49.59,739.42,0
7998,25.34,49.47,737.44,0
8098,25.05,49.66,709.01,0
8198,25.32,48.92,712.58,0
8298,25.25,49.58,715.14,0
8398,25.17,49.37,701.46,0
8498,25.2,49.32,699.89,0
8598,25.31,49.35,685.11,0
8698,25.07,49.12,667.07,0
8798,25.03,49.4,664.91,0
8898,25.11,49.15,662.33,0
8998,25.32,48.61,639.0,0
9098,25.22,49.45,635.29,0
9198,24.94,49.83,613.26,0
9298,24.95,49.7,608.29,0
9398,25.24,49.62,606.97,0
9498,25.01,49.32,594.22,0
9598,25.14,49.12,597.7,0
9698,25.2,49.42,569.97,0
9798,24.92,49.66,565.99,0
9898,25.05,49.67,547.53,0
9998,24.92,49.84,541.32,0
10098,24.88,49.31,553.76,0
10198,24.93,49.73,544.69,0
10298,25.16,49.47,510.68,0
10398,25.14,49.65,526.86,0
10498,24.78,49.05,505.37,0
10598,24.84,49.18,491.58,0
10698,24.99,49.75,476.11,0
10798,24.89,49.6,466.07,0
10898,24.98,48.91,457.61,0
10998,25.0,49.2,449.13,0
11098,32.9,49.05,447.71,1
11198,32.69,49.17,450.72,1
11298,32.72,49.34,430.81,1
11398,32.83,49.52,434.36,1
11498,32.71,49.03,423.33,1
11598,24.76,49.88,420.0,0
11698,24.76,49.55,396.0,0
11798,24.61,49.27,388.05,0
11898,24.84,49.23,385.78,0
11998,24.72,49.38,361.74,0
12098,24.83,48.98,377.08,0
12198,24.8,49.51,349.42,0
12298,24.63,49.13,339.76,0
12398,24.66,49.7,355.22,0
12498,24.44,49.54,336.5,0
12598,24.68,49.8,323.3,0
12698,24.59,49.48,314.52,0
12798,24.48,49.89,308.06,0
12898,24.59,49.98,319.03,0
12998,24.31,50.01,307.28,0
13098,24.53,49.81,316.02,0
13198,24.61,49.51,292.59,0
13298,24.24,49.75,298.13,0
13398,24.59,49.94,295.79,0
13498,24.27,49.56,282.59,0
13598,24.28,50.01,269.04,0
13698,24.3,49.62,275.08,0
13798,24.28,50.02,260.65,0
13898,24.25,49.34,276.22,0
13998,24.13,50.29,268.55,0
14098,24.34,49.28,250.46,0
14198,24.3,49.58,257.41,0
14298,24.37,49.48,244.09,0
14398,24.16,49.44,248.56,0
14498,24.03,50.34,268.53,0
14598,24.23,49.4,240.77,0
14698,23.92,49.77,258.5,0
14798,24.07,50.25,265.41,0
14898,23.98,50.09,236.62,0
14998,23.9,49.68,238.5,0
15098,24.07,49.98,240.63,0
15198,24.01,50.36,236.82,0
15298,24.08,49.87,243.25,0
15398,23.88,50.48,245.36,0
15498,23.77,49.98,265.72,0
15598,23.79,50.54,244.41,0
15698,23.94,50.33,269.51,0
15798,23.82,49.8,256.5,0
15898,23.77,50.12,255.79,0
15998,23.87,49.94,255.81,0
16098,23.85,49.87,281.64,0
16198,23.81,49.86,264.19,0
16298,23.59,49.84,282.0,0
16398,23.67,50.31,278.71,0
16498,23.49,50.77,273.59,0
16598,23.59,50.73,275.85,0
16698,23.49,50.02,305.64,0
16798,23.62,49.89,286.03,0
16898,23.46,49.97,298.26,0
16998,23.58,50.56,298.01,0
17098,23.64,50.29,326.69,0
17198,23.33,50.59,304.87,0
17298,23.53,50.35,323.44,0
17398,23.62,50.64,345.31,0
17498,23.36,50.4,344.6,0
17598,23.19,50.54,350.88,0
17698,23.39,50.34,365.14,0
17798,23.22,50.7,366.7,0
17898,23.16,50.19,365.31,0
17998,23.12,50.79,376.78,0
18098,23.37,50.69,372.68,0
18198,23.15,50.31,391.43,0
18298,23.05,50.98,391.14,0
18398,23.29,50.86,409.39,0
18498,23.33,50.73,415.03,0
18598,23.12,50.3,408.55,0
18698,23.04,50.97,419.33,0
18798,23.07,51.08,453.15,0
18898,22.96,50.4,435.26,0
18998,23.2,50.96,450.92,0
19098,23.15,50.11,455.65,0
19198,22.97,50.36,475.47,0
19298,23.05,50.21,489.14,0
19398,23.01,50.44,481.32,0
19498,22.89,50.5,514.03,0
19598,23.19,50.72,502.35,0
19698,23.04,50.63,536.3,0
19798,22.95,50.29,537.75,0
19898,23.11,50.66,537.29,0
19998,23.05,51.16,554.67,0
20098,22.88,51.2,571.71,0
20198,23.11,50.31,569.03,0
20298,22.9,50.47,578.8,0
20398,23.05,50.46,582.91,0
20498,22.77,50.82,590.86,0
20598,22.74,50.48,611.75,0
20698,22.8,50.36,606.5,0
20798,22.81,50.56,610.08,0
20898,22.95,50.34,631.47,0
20998,22.77,51.34,632.93,0
21098,22.67,20.87,659.67,1
21198,22.69,20.57,652.46,1
21298,22.81,21.22,660.22,1
21398,23.03,20.34,687.68,1
21498,22.71,21.31,687.09,1
21598,22.96,50.69,707.58,0
21698,22.72,51.13,693.36,0
21798,22.63,51.29,702.65,0
21898,22.94,50.57,725.25,0
21998,22.87,51.11,732.78,0
22098,22.79,50.74,719.22,0
22198,22.84,50.62,754.07,0
22298,22.82,50.67,740.71,0
22398,22.73,50.59,757.82,0
22498,22.99,50.62,766.03,0
22598,22.74,51.1,778.05,0
22698,22.86,51.15,778.94,0
22798,22.86,50.94,793.12,0
22898,22.85,51.27,784.28,0
22998,22.98,50.38,785.86,0
23098,22.74,51.04,792.05,0
23198,22.68,51.33,812.63,0
23298,22.82,51.31,820.24,0
23398,22.93,51.06,826.01,0
23498,22.88,50.38,828.94,0
23598,23.01,51.0,822.2,0
23698,22.91,50.51,819.98,0
23798,22.93,50.72,814.19,0
23898,22.68,51.05,835.47,0
23998,22.94,50.81,825.12,0
24098,22.7,50.67,839.25,0
24198,23.0,50.92,850.4,0
24298,22.76,50.82,844.31,0
24398,22.71,50.41,839.48,0
24498,23.06,50.49,833.03,0
24598,23.08,50.7,844.22,0
24698,22.75,50.47,845.29,0
24798,22.9,50.36,864.01,0
24898,23.02,50.52,853.75,0
24998,22.97,50.49,863.37,0
25098,23.02,51.08,837.79,0
25198,22.83,50.39,852.48,0
25298,23.05,50.89,857.69,0
25398,22.96,50.27,851.99,0
25498,23.08,50.87,841.89,0
25598,22.99,50.26,829.82,0
25698,23.08,51.01,835.06,0
25798,23.16,50.18,840.48,0
25898,22.92,51.22,847.12,0
25998,23.29,50.84,849.03,0
26098,23.31,50.43,826.76,0
26198,23.33,50.06,832.29,0
26298,23.27,50.76,839.74,0
26398,23.03,50.34,835.99,0
26498,23.04,50.19,810.03,0
26598,23.32,50.74,814.75,0
26698,23.19,50.39,809.64,0
26798,23.44,50.29,791.9,0
26898,23.24,50.8,794.91,0
26998,23.28,50.9,799.15,0
27098,23.28,50.75,790.39,0
27198,23.26,50.26,777.59,0
27298,23.21,50.87,785.8,0
27398,23.23,50.89,778.86,0
27498,23.28,50.57,758.18,0
27598,23.56,50.51,755.69,0
27698,23.32,50.74,747.73,0
27798,23.55,49.82,749.24,0
27898,23.67,50.1,726.34,0
27998,23.47,50.38,731.48,0
28098,23.66,50.55,726.33,0
28198,23.52,50.75,710.85,0
28298,23.51,50.12,704.15,0
28398,23.46,49.95,708.94,0
28498,23.52,50.37,674.89,0
28598,23.6,50.73,692.69,0
28698,23.85,49.97,665.03,0
28798,23.7,50.16,657.55,0
28898,23.91,50.08,652.44,0
28998,23.66,50.36,631.78,0
29098,23.72,50.58,641.6,0
29198,23.83,50.27,626.48,0
29298,23.86,49.86,611.44,0
29398,24.01,49.6,600.98,0
29498,23.92,49.84,608.06,0
29598,23.85,50.02,584.01,0
29698,23.88,49.68,590.72,0
29798,23.8,50.4,554.87,0
29898,23.79,49.95,568.56,0
29998,23.93,49.67,546.38,0
30098,24.14,49.44,545.57,0
30198,24.02,49.63,529.21,0
30298,24.23,50.08,523.37,0
30398,24.0,50.1,521.79,0
30498,24.0,49.67,490.75,0
30598,24.21,49.48,501.49,0
30698,24.01,50.48,473.02,0
30798,24.1,49.71,462.65,0
30898,24.33,49.29,463.57,0
30998,24.26,50.06,470.19,0
